date_time,Monican01 Buoy model,date_time,Monican02 Buoy model
2014-1-10 1:0,2.58999991417,2014-1-10 1:0,2.44000005722
2014-1-10 2:0,2.55999994278,2014-1-10 2:0,2.40999984741
2014-1-10 3:0,2.52999997139,2014-1-10 3:0,2.37999987602
2014-1-10 4:0,2.5,2014-1-10 4:0,2.3599998951
2014-1-10 5:0,2.48000001907,2014-1-10 5:0,2.33999991417
2014-1-10 6:0,2.46000003815,2014-1-10 6:0,2.31999993324
2014-1-10 7:0,2.44000005722,2014-1-10 7:0,2.29999995232
2014-1-10 8:0,2.41999983788,2014-1-10 8:0,2.27999997139
2014-1-10 9:0,2.40999984741,2014-1-10 9:0,2.25999999046
2014-1-10 10:0,2.39999985695,2014-1-10 10:0,2.25
2014-1-10 11:0,2.37999987602,2014-1-10 11:0,2.24000000954
2014-1-10 12:0,2.36999988556,2014-1-10 12:0,2.22000002861
2014-1-10 13:0,2.36999988556,2014-1-10 13:0,2.21000003815
2014-1-10 14:0,2.34999990463,2014-1-10 14:0,2.20000004768
2014-1-10 15:0,2.33999991417,2014-1-10 15:0,2.19000005722
2014-1-10 16:0,2.32999992371,2014-1-10 16:0,2.16999983788
2014-1-10 17:0,2.31999993324,2014-1-10 17:0,2.15999984741
2014-1-10 18:0,2.29999995232,2014-1-10 18:0,2.13999986649
2014-1-10 19:0,2.28999996185,2014-1-10 19:0,2.12999987602
2014-1-10 20:0,2.26999998093,2014-1-10 20:0,2.1099998951
2014-1-10 21:0,2.25,2014-1-10 21:0,2.08999991417
2014-1-10 22:0,2.22000002861,2014-1-10 22:0,2.05999994278
2014-1-10 23:0,2.19000005722,2014-1-10 23:0,2.03999996185
2014-1-11 0:0,2.15999984741,2014-1-11 0:0,2.00999999046
2014-1-11 1:0,2.11999988556,2014-1-11 1:0,1.97999989986
2014-1-11 2:0,2.08999991417,2014-1-11 2:0,1.94999992847
2014-1-11 3:0,2.04999995232,2014-1-11 3:0,1.91999995708
2014-1-11 4:0,2.02999997139,2014-1-11 4:0,1.89999997616
2014-1-11 5:0,2.02999997139,2014-1-11 5:0,1.88999998569
2014-1-11 6:0,2.05999994278,2014-1-11 6:0,1.89999997616
2014-1-11 7:0,2.11999988556,2014-1-11 7:0,1.94999992847
2014-1-11 8:0,2.22000002861,2014-1-11 8:0,2.01999998093
2014-1-11 9:0,2.33999991417,2014-1-11 9:0,2.11999988556
2014-1-11 10:0,2.49000000954,2014-1-11 10:0,2.24000000954
2014-1-11 11:0,2.62999987602,2014-1-11 11:0,2.36999988556
2014-1-11 12:0,2.76999998093,2014-1-11 12:0,2.5
2014-1-11 13:0,2.88999986649,2014-1-11 13:0,2.61999988556
2014-1-11 14:0,2.98000001907,2014-1-11 14:0,2.72000002861
2014-1-11 15:0,3.04999995232,2014-1-11 15:0,2.79999995232
2014-1-11 16:0,3.08999991417,2014-1-11 16:0,2.84999990463
